------------ Tamaño: 24 -----------
Numero,Resultado,Tiempo,Memoria
8989859957119,2689717,0,0007703304290771484,13762560
11752865487481,4017869,0,0025064945220947266,13762560
8727641104639,2440391,0,0017948150634765625,13762560
11656034348317,3561673,0,0010886192321777344,13762560
10487102653787,2696377,0,0043947696685791016,13762560
5631650739023,2264551,0,0030667781829833984,13762560
6253736800669,2577397,0,0006718635559082031,13762560
13908861743779,4136633,0,0031387805938720703,13762560
6896847631043,2242213,0,003609895706176758,13762560
7496761872361,2382203,0,0033304691314697266,13762560
13646936140609,3289291,0,0021584033966064453,13762560
5917250836691,2490307,0,0015459060668945312,13762560
10831662524777,4072297,0,0015377998352050781,13762560
5677102473283,2496493,0,0016376972198486328,13762560
8011020676531,2307523,0,003488779067993164,13762560
11848640050783,2999251,0,002162933349609375,13762560
10023021380413,3011527,0,0012788772583007812,13762560
6724833633601,3194797,0,001802682876586914,13762560
6704335165321,2818429,0,001790761947631836,13762560
7947684002941,2712049,0,003766775131225586,13762560
14369794513219,3902033,0,0027697086334228516,13762560
16713617652923,4027831,0,005175590515136719,13762560
7987113476417,3478561,0,0022516250610351562,13762560
11280884873477,3695141,0,0018429756164550781,13762560
5905027314811,2206483,0,0025458335876464844,13762560
11256854723371,2952431,0,003323078155517578,13762560
9480244967983,2317391,0,0017631053924560547,13762560
13043452355671,3858287,0,003062009811401367,13762560
7180848923363,2953469,0,0036084651947021484,13762560
8467480121119,2116679,0,004477262496948242,13762560
7984412789917,2315107,0,0008130073547363281,13762560
7787644295693,3439637,0,0024056434631347656,13762560
10350584826511,2523593,0,004327297210693359,13762560
4853048027323,2218519,0,001148223876953125,13762560
7733656509367,3316699,0,0027480125427246094,13762560
12565554033757,3645773,0,0027878284454345703,13762560
14067480312911,3537991,0,0037131309509277344,13762560
7074616650971,3294953,0,001974344253540039,13762560
6782439018527,2426639,0,0030014514923095703,13762560
7960136586331,2553389,0,005066871643066406,13762560
10106526624377,2666743,0,0015230178833007812,13762560
10537640449031,3614087,0,002391815185546875,13762560
10562140624891,3915139,0,0015866756439208984,13762560
12915320946331,3690871,0,0031538009643554688,13762560
7063468720211,3275081,0,0020635128021240234,13762560
10170400544599,3162319,0,0027837753295898438,13762560
9888326389673,3521633,0,0014019012451171875,13762560
7863745694351,2104363,0,0020117759704589844,13762560
10827620005151,4058981,0,0006246566772460938,13762560
7115680790329,2926769,0,0015780925750732422,13762560
12687088307273,3699497,0,0029358863830566406,13762560
10451483841719,2855869,0,0028192996978759766,13762560
12031393777177,3021643,0,0020825862884521484,13762560
Media del tiempo: 0,0023531007766723635
Media de la memoria: 13,125
------------ Tamaño: 48 -----------
Numero,Resultado,Tiempo,Memoria
179857258579967,13383299,0,005036115646362305,13762560
135761829463879,14777491,0,004793882369995117,13762560
96058016498501,9731747,0,0016827583312988281,13762560
150238587258857,9631067,0,0028350353240966797,13762560
140823188935601,11081171,0,0039751529693603516,13762560
172953775268411,12391031,0,008615493774414062,13762560
167962813600727,12726811,0,007443666458129883,13762560
217259351313863,13964953,0,0048868656158447266,13762560
165584311989997,11361703,0,0045511722564697266,13762560
140755013049163,14215853,0,013728618621826172,13762560
218114214170161,15587083,0,0068972110748291016,13762560
153285576091567,11388791,0,007097721099853516,13762560
170312883733813,12980321,0,005250215530395508,13762560
200309653831271,12425771,0,004045009613037109,13762560
113247583370443,9802459,0,004319906234741211,13762560
100315164155467,10398607,0,0007357597351074219,13762560
113523230064001,12058609,0,0023965835571289062,13762560
138522298217291,12823409,0,00725245475769043,13762560
116012358847199,8503717,0,002958059310913086,13762560
131608228373507,13044121,0,002071380615234375,13762560
97438289075423,10712021,0,005789279937744141,13762560
126682034875447,13550143,0,0035533905029296875,13762560
169913161601891,15991687,0,003117799758911133,13762560
223598900786017,13334843,0,0031294822692871094,13762560
148322438714557,12350867,0,008016347885131836,13762560
120518962401853,10839979,0,005357027053833008,13762560
184550739610483,11044963,0,00600886344909668,13762560
142253449320097,14236693,0,0011663436889648438,13762560
139821429104419,9002467,0,003681659698486328,13762560
156969686415571,11174519,0,0024111270904541016,13762560
94055464520819,8624249,0,0027947425842285156,13762560
105569432621057,12230041,0,0005373954772949219,13762560
116072965096477,8834587,0,0044667720794677734,13762560
134361310423037,15507053,0,007102489471435547,13762560
99280760114491,10405631,0,00641942024230957,13762560
185030393118001,14573831,0,0078084468841552734,13762560
184035605677223,16350307,0,0038406848907470703,13762560
253554989739299,15587479,0,004320621490478516,13762560
140474319436421,10686917,0,008163690567016602,13762560
208225759073923,14527687,0,0032269954681396484,13762560
136496827933561,11306249,0,00262451171875,13762560
154637036576681,13004377,0,006137371063232422,13762560
214750729873417,12983713,0,013314962387084961,13762560
150274618938077,13763861,0,005900859832763672,13762560
116879962118203,11433007,0,0024220943450927734,13762560
165641063113531,12496969,0,005953073501586914,13762560
149217838159763,11367569,0,0010385513305664062,13762560
215032321521097,14219069,0,0015919208526611328,13762560
235781714477173,16166783,0,00703120231628418,13762560
126962002062521,10937573,0,0007388591766357422,13762560
185367091516337,16567883,0,0069010257720947266,13762560
118277776964951,13849813,0,0042912960052490234,13762560
135299304320317,10877179,0,004636287689208984,13762560
225656920681693,16050103,0,006646871566772461,13762560
197566770614251,16302679,0,0048046112060546875,13762560
230212883708491,16190351,0,006306648254394531,13762560
123845252615219,14384719,0,006969451904296875,13762560
247443858162269,15858113,0,0035305023193359375,13762560
137336617884329,15468227,0,008212804794311523,13762560
207106371471143,13871861,0,010682344436645508,13762560
97198613437063,9222887,0,0014472007751464844,13762560
101403842938033,10704181,0,005402565002441406,13762560
112101001123751,11908747,0,00768733024597168,13762560
185564194046111,12794849,0,006065845489501953,13762560
255526492840733,16557977,0,0017235279083251953,13762560
202722947229059,16720967,0,0010373592376708984,13762560
146120359786307,13708777,0,00740361213684082,13762560
236976671134201,14259697,0,0037980079650878906,13762560
111330581250949,10666729,0,0031044483184814453,13762560
157466367506627,13520659,0,005397319793701172,13762560
142974980995697,15484243,0,007358074188232422,13762560
151705176069431,9715397,0,005293607711791992,13762560
197776510558937,13828391,0,008971452713012695,13762560
163113079027441,11838781,0,00830078125,13762560
231494214980653,14325161,0,0073184967041015625,13762560
185236976366843,12329591,0,002467632293701172,13762560
167114919993631,10684703,0,006897449493408203,13762560
128181424025051,9939541,0,006180524826049805,13762560
160977807629557,10039739,0,002386808395385742,13762560
210207364252199,14269483,0,004691600799560547,13762560
158830747954399,9919681,0,002005338668823242,13762560
243026446760497,14504801,0,007259845733642578,13762560
170579981678657,12265511,0,009819984436035156,13762560
179341078680877,15825241,0,003131389617919922,13762560
161680644975137,11873597,0,0014357566833496094,13762560
176213003851109,12411257,0,004118442535400391,13762560
237151481954507,15123499,0,0054209232330322266,13762560
121535888355067,9809207,0,0028162002563476562,13762560
87448360978793,9238133,0,006886482238769531,13762560
129953012679613,12114241,0,006110668182373047,13762560
124503222098599,10055363,0,001987934112548828,13762560
204320358133733,14843531,0,006746530532836914,13762560
141227059117031,10198183,0,002526521682739258,13762560
207576475698161,14011219,0,007966995239257812,13762560
160002123941501,10334497,0,0038475990295410156,13762560
237935792909611,15965351,0,009131908416748047,13762560
116436296169437,8390219,0,00818014144897461,13762560
153425643585433,10864253,0,005773782730102539,13762560
232952091619921,13987411,0,003962993621826172,13762560
156998780758427,9925891,0,0045702457427978516,13762560
Media del tiempo: 0,005078542232513428
Media de la memoria: 13,125
------------ Tamaño: 52 -----------
Numero,Resultado,Tiempo,Memoria
1772760872977141,42085661,0,01362156867980957,13762560
1918301983511383,45702583,0,02826094627380371,13762560
2904109525158013,48588487,0,014507055282592773,13762560
2362007912025067,43749403,0,014946699142456055,13762560
2113947459199231,39768823,0,009494781494140625,13762560
2140393041443183,35161003,0,002268075942993164,13762560
2607844893793661,52851443,0,016585350036621094,13762560
3101963308191227,60238603,0,014123678207397461,13762560
3196852079397061,55180799,0,009474039077758789,13762560
3918924347683517,65541227,0,008913040161132812,13762560
2217033501608531,54721421,0,0034003257751464844,13762560
2171094571360807,51388171,0,010587930679321289,13762560
2792796343049473,66727823,0,015086174011230469,13762560
3086533064593651,59139503,0,011606931686401367,13762560
1949369152135453,33580669,0,01111745834350586,13762560
3264842229177047,60703373,0,019407033920288086,13762560
2875170456545707,52482607,0,013489961624145508,13762560
1665184233186751,40224901,0,009741067886352539,13762560
2355389974145951,64297817,0,011892318725585938,13762560
1595410013041879,42541001,0,008922338485717773,13762560
4031358986877119,61941587,0,010272026062011719,13762560
2208564261927137,34526621,0,006672859191894531,13762560
2669358325611097,46668901,0,013095378875732422,13762560
4228055471609323,65005043,0,006325244903564453,13762560
2952229039656917,44359759,0,01818561553955078,13762560
3053793174192883,51853019,0,010921716690063477,13762560
2157579215160709,35496733,0,004277229309082031,13762560
3092777647937249,57605267,0,028876781463623047,13762560
2265921423977873,36006721,0,006136894226074219,13762560
1697749701625163,45943019,0,02658390998840332,13762560
2663227514833937,42610531,0,009392261505126953,13762560
3273284048493383,49888093,0,013958454132080078,13762560
3326111288558857,55311163,0,014629840850830078,13762560
2626115808899431,56562797,0,02594304084777832,13762560
2568096485988331,43459181,0,010519027709960938,13762560
3834632634918427,60667357,0,008333683013916016,13762560
2999815015092823,48319889,0,0255279541015625,13762560
3263688603052061,54506533,0,022356033325195312,13762560
1946806462525709,36795019,0,009999275207519531,13762560
3491099435410919,62031653,0,008275270462036133,13762560
2683521286170547,56394007,0,008380413055419922,13762560
2075321304989651,50155561,0,0004608631134033203,13762560
1773312714938903,45494629,0,0041201114654541016,13762560
2240013262116079,37893133,0,009329557418823242,13762560
1653332841620771,48479797,0,005751609802246094,13762560
3545438465043121,55226869,0,018549203872680664,13762560
2526736551351277,61235353,0,00730443000793457,13762560
2301673395339319,59445707,0,006000041961669922,13762560
1417244558781221,33989581,0,0018701553344726562,13762560
1516079882901349,34185197,0,008774995803833008,13762560
2653243784957893,44801173,0,02000117301940918,13762560
3543517487186449,62006467,0,014385223388671875,13762560
1601861168916871,38625079,0,007654666900634766,13762560
2586194977856923,57336947,0,00803375244140625,13762560
2218563068833609,53000711,0,008633613586425781,13762560
3311369059718701,58630321,0,0038557052612304688,13762560
2655990743090479,56857973,0,001787424087524414,13762560
3260560977134537,50698009,0,023118257522583008,13762560
3012393061209443,52657009,0,006257772445678711,13762560
1158332944628147,33743233,0,01343536376953125,13762560
2817502267276027,47757197,0,02616739273071289,13762560
1912683986702693,50006443,0,011867046356201172,13762560
2191844540956033,55185401,0,013679027557373047,13762560
2214249015916573,38368399,0,013367176055908203,13762560
2219401590697757,48635429,0,009880781173706055,13762560
2920664046427319,48696751,0,001293182373046875,13762560
3731388894142799,56608499,0,006732463836669922,13762560
3533222558068993,64878421,0,014230012893676758,13762560
2863322007200953,62084849,0,03508901596069336,13762560
2162503891778473,48339149,0,002747058868408203,13762560
2563352133068477,59094307,0,011741161346435547,13762560
1501805094329693,41085139,0,009204387664794922,13762560
4364598143290963,67018163,0,01735234260559082,13762560
2055106470428261,38918291,0,012859344482421875,13762560
3310655763580819,56230351,0,0012657642364501953,13762560
2655507706115599,65500991,0,012492895126342773,13762560
3306572220154979,60030097,0,01444697380065918,13762560
1437266148079967,38058023,0,005423784255981445,13762560
2944936043290667,54473147,0,008115768432617188,13762560
