------------ Tamaño: 32 -----------
p,alpha,beta,resultado,tiempo,memoria
2703258601,11,425745586,2081560142,0.13404059410095215,22507520
2703258601,11,2318617328,2246929987,0.13327765464782715,22507520
2703258601,11,1342235564,2096704968,0.1324152946472168,22507520
2703258601,11,1341402692,753825262,0.12656068801879883,22507520
2703258601,11,955867687,15151045,0.12422943115234375,22507520
2703258601,11,2536109872,170334264,0.12556028366088867,22507520
2703258601,11,1387417845,2068729389,0.13197040557861328,22507520
2703258601,11,2312703658,2355559181,0.13428282737731934,22507520
2703258601,11,1894214684,264737123,0.1245265007019043,22507520
2703258601,11,2160638751,514120501,0.12557506561279297,22507520
2703258601,11,2422833271,1690481558,0.1307384967803955,22507520
2703258601,11,26732408,256883556,0.12455987930297852,22507520
Media del tiempo: 0.13136783599853516
Media de la memoria: 21.434609375
------------ Tamaño: 36 -----------
p,alpha,beta,resultado,tiempo,memoria
66993967457,100,30349383276,1875864742,0.8142399787902832,46080000
66993967457,100,852427156,22738119117,0.8401944637298584,51273728
66993967457,100,42062380241,23330940362,0.8343377113342285,51273728
66993967457,100,52610020023,6669465237,0.8152961730957031,51240960
66993967457,100,57212518718,21960936778,0.8339214324951172,51240960
66993967457,100,49214219717,27197290737,0.8456811904907227,51355648
66993967457,100,32373334469,11068087336,0.8144872188568115,51339264
66993967457,100,20997403006,13981492036,0.8204355239868164,51322880
66993967457,100,11769166298,21526959423,0.9052309989929199,51306496
66993967457,100,30609897741,28945343100,0.8406248092651367,51290112
66993967457,100,18554915360,18122178740,0.8257842063903809,51273728
66993967457,100,65891085647,1715951756,0.8038475513458252,51257344
66993967457,100,59560979674,25478226206,0.835587739944458,51240960
66993967457,100,53888383836,31278388583,0.8386499881744385,51896320
66993967457,100,59628654350,28750414571,0.8376829624176025,51896320
66993967457,100,2175986603,24019591927,0.8318231105804443,51896320
66993967457,100,15299000216,16494582311,0.8254439830780029,51896320
66993967457,100,41353596710,29995317075,0.8356802463531494,51896320
66993967457,100,18289186489,1068184649,0.8059558868408203,51896320
66993967457,100,25367636030,1456109822,0.8049991130828857,51896320
66993967457,100,40851317997,18225743941,0.8264603614807129,51896320
66993967457,100,52261339178,285522233,0.8033928871154785,51896320
66993967457,100,7222233599,3315412339,0.8052501678466797,51896320
66993967457,100,17222968625,26428961978,0.8359196186065674,51896320
66993967457,100,51791374024,7664204811,0.8153932094573975,51896320
66993967457,100,38479935163,11063198214,0.8182032108306885,51896320
66993967457,100,52762425205,10233168531,0.8133046627044678,51896320
66993967457,100,3079523687,20343257124,0.831993818283081,51896320
66993967457,100,1671113861,3525438661,0.8105006217956543,51896320
66993967457,100,1355241326,26439429542,0.8392295837402344,51896320
66993967457,100,8415459303,32125152765,0.8570926189422607,51896320
66993967457,100,13484186681,14477826275,0.85298752784729,51896320
66993967457,100,32630704019,15403109335,0.8249049186706543,51896320
66993967457,100,66557672734,12233063197,0.8247401714324951,51896320
66993967457,100,30765178143,6088866055,0.8099148273468018,51896320
66993967457,100,22804546503,23485502515,0.8283636569976807,51896320
66993967457,100,23806594774,25984788017,0.8309016227722168,51896320
66993967457,100,49023512346,17402314765,0.8251457214355469,51896320
66993967457,100,22689661422,12896371751,0.8175845146179199,51896320
66993967457,100,54932938592,380864587,0.8068337440490723,51896320
66993967457,100,58237676552,16142361057,0.824981689453125,51896320
66993967457,100,37710990833,6103659608,0.8107948303222656,51896320
66993967457,100,24074578858,23457293553,0.8307032585144043,51896320
66993967457,100,62663737217,31522570627,0.8500564098358154,51896320
66993967457,100,5672578625,21088064400,0.8278400897979736,51896320
66993967457,100,49577723763,21845275777,0.8293483257293701,51896320
66993967457,100,34864797059,26418360142,0.8310604095458984,51896320
66993967457,100,37153652157,1780317567,0.8078298568725586,51896320
66993967457,100,20555400040,12810351221,0.8217334747314453,51896320
66993967457,100,52154684471,14175165347,0.8254036903381348,51896320
66993967457,3,25366008771,50342768804,0.7509405612945557,51896320
66993967457,3,32980782104,16571065053,0.7115602493286133,51896320
66993967457,3,8755659716,34359919378,0.7326924800872803,51896320
66993967457,3,32984669385,14055660695,0.7081842422485352,51896320
66993967457,3,50468690576,51393156830,0.7546861171722412,51896320
